,TABLETYPE,ICD10-CM,ICD9-CM
318,A,A78,0830
319,A,A790,0831
320,A,A791,0832
321,A,A798,0838
322,A,A799,0839
323,A,A800,04510
324,A,A801,04510
325,A,A802,04510
326,A,A803,04510
327,A,A804,04520
328,A,A809,04590
329,A,A810,0461
330,A,A811,0462
331,A,A812,0463
332,A,A818,0468
333,A,A819,0469
334,A,A820,071
335,A,A821,071
336,A,A829,071
337,A,A830,0620
338,A,A831,0621
339,A,A832,0622
340,A,A833,0623
341,A,A834,0624
342,A,A835,0625
343,A,A836,0628
344,A,A838,0628
345,A,A839,0629
346,A,A840,0630
347,A,A841,0632
348,A,A848,0638
349,A,A849,0639
350,A,A850,0498
351,A,A851,0498
352,A,A852,064
353,A,A858,0498
354,A,A86,0499
355,A,A870,0470
356,A,A871,0491
357,A,A872,0490
358,A,A878,0478
359,A,A879,0479
360,A,A880,048
361,A,A881,07881
362,A,A888,0498
363,A,A89,0499
364,A,A90,061
365,A,A91,0654
366,A,A920,0654
367,A,A921,0663
368,A,A922,0662
369,A,A923,0663
370,A,A924,0663
371,A,A928,0663
372,A,A929,0663
373,A,A930,0663
374,A,A931,0660
375,A,A932,0661
376,A,A938,0668
377,A,A94,0669
378,A,A950,0600
379,A,A951,0601
380,A,A959,0609
381,A,A960,0787
382,A,A961,0787
383,A,A962,07889
384,A,A968,0787
385,A,A969,0787
386,A,A980,0650
387,A,A981,0651
388,A,A982,0652
389,A,A983,07889
390,A,A984,0658
391,A,A985,0786
392,A,A988,0658
393,A,A99,0659
394,A,B000,0540
395,A,B001,05479
396,A,B002,0542
397,A,B003,05472
398,A,B004,0543
399,A,B005,05440
400,A,B007,0545
401,A,B008,05479
402,A,B009,0549
403,A,B010,0527
404,A,B011,0520
405,A,B012,0521
406,A,B018,0527
407,A,B019,0529
408,A,B020,05319
409,A,B021,0530
410,A,B022,05319
411,A,B023,05329
412,A,B027,05379
413,A,B028,05379
414,A,B029,0539
415,A,B03,0509
416,A,B04,0578
417,A,B050,0550
418,A,B051,05579
419,A,B052,0551
420,A,B053,0552
421,A,B054,05579
422,A,B058,05579
423,A,B059,0559
424,A,B060,05600
425,A,B068,05679
426,A,B069,0569
427,A,B07,07810
428,A,B080,0510
429,A,B081,0780
430,A,B082,0578
431,A,B083,0570
432,A,B084,0743
433,A,B085,0740
434,A,B088,0578
435,A,B09,0579
436,A,B150,0700
437,A,B159,0701
438,A,B160,07021
439,A,B161,07031
440,A,B162,07020
441,A,B169,07030
442,A,B170,07052
443,A,B171,07051
444,A,B172,07053
445,A,B178,07059
446,A,B180,07033
447,A,B181,07032
448,A,B182,07054
449,A,B188,07059
450,A,B189,0706
451,A,B190,0706
452,A,B199,0709
453,A,B20,042
454,A,B21,042
455,A,B22,042
456,A,B230,042
457,A,B238,042
458,A,B24,042
459,A,B250,0785
460,A,B251,0785
461,A,B252,0785
462,A,B258,0785
463,A,B259,0785
464,A,B260,0720
465,A,B261,0721
466,A,B262,0722
467,A,B263,0723
468,A,B268,07279
469,A,B269,0729
470,A,B270,075
471,A,B271,075
472,A,B278,075
473,A,B279,075
474,A,B300,0771
475,A,B301,0773
476,A,B302,0772
477,A,B303,0774
478,A,B308,0778
479,A,B309,07799
480,A,B330,0741
481,A,B331,0663
482,A,B332,07420
483,A,B333,07950
484,A,B338,07989
485,A,B340,0790
486,A,B341,07989
487,A,B342,07989
488,A,B343,07989
489,A,B344,07999
490,A,B348,07989
491,A,B349,07999
492,A,B350,1100
493,A,B351,1101
494,A,B352,1102
495,A,B353,1104
496,A,B354,1105
497,A,B355,1105
498,A,B356,1103
499,A,B358,1108
500,A,B359,1109
501,A,B360,1110
502,A,B361,1111
503,A,B362,1112
504,A,B363,1113
505,A,B368,1118
506,A,B369,1119
507,A,B370,1120
508,A,B371,1124
509,A,B372,1123
510,A,B373,1121
511,A,B374,1122
512,A,B375,11283
513,A,B376,11281
514,A,B377,1125
515,A,B3781,11284
516,A,B3788,11289
517,A,B379,1129
518,A,B380,1140
519,A,B381,1144
520,A,B382,1145
521,A,B383,1141
522,A,B384,1142
523,A,B387,1143
524,A,B388,1143
525,A,B389,1149
526,A,B390,11505
527,A,B391,11505
528,A,B392,11505
529,A,B393,11509
530,A,B394,11500
531,A,B395,11510
532,A,B399,11590
533,A,B400,1160
534,A,B401,1160
535,A,B402,1160
536,A,B403,1160
537,A,B407,1160
538,A,B408,1160
539,A,B409,1160
540,A,B410,1161
541,A,B417,1161
542,A,B418,1161
543,A,B419,1161
544,A,B420,1171
545,A,B421,1171
546,A,B427,1171
547,A,B428,1171
548,A,B429,1171
549,A,B430,1172
550,A,B431,1178
551,A,B432,1178
552,A,B438,1172
553,A,B439,1172
554,A,B440,1173
555,A,B441,1173
556,A,B442,1173
557,A,B447,1173
558,A,B448,1173
559,A,B449,1173
560,A,B450,1175
561,A,B451,1175
562,A,B452,1175
563,A,B453,1175
564,A,B457,1175
565,A,B458,1175
566,A,B459,1175
567,A,B460,1177
568,A,B461,1177
569,A,B462,1177
570,A,B463,1177
571,A,B464,1177
572,A,B465,1177
573,A,B468,1177
574,A,B469,1177
575,A,B470,1174
576,A,B471,0399
577,A,B479,0399
578,A,B480,1162
579,A,B481,1170
580,A,B482,1176
581,A,B483,1179
582,A,B484,1179
583,A,B487,118
584,A,B488,1179
585,A,B49,1179
586,A,B500,0840
587,A,B508,0840
588,A,B509,0840
589,A,B510,0841
590,A,B518,0841
591,A,B519,0841
592,A,B520,0842
593,A,B528,0842
594,A,B529,0842
595,A,B530,0843
596,A,B531,0844
597,A,B538,0844
598,A,B54,0846
599,A,B550,0850
600,A,B551,0851
601,A,B552,0855
602,A,B559,0859
603,A,B560,0863
604,A,B561,0864
605,A,B569,0865
606,A,B570,0860
607,A,B571,0862
608,A,B572,0860
609,A,B573,0861
610,A,B574,0861
611,A,B575,0861
612,A,B580,1301
613,A,B581,1305
614,A,B582,1300
615,A,B583,1304
616,A,B588,1307
617,A,B589,1309
618,A,B59,1363
619,A,B600,08882
620,A,B601,1368
621,A,B602,1368
622,A,B608,1368
623,A,B64,1368
624,A,B650,1200
625,A,B651,1201
626,A,B652,1202
627,A,B653,1203
628,A,B658,1208
629,A,B659,1209
630,A,B660,1210
631,A,B661,1211
632,A,B662,1218
633,A,B663,1213
634,A,B664,1212
635,A,B665,1214
636,A,B668,1218
637,A,B669,1219
638,A,B670,1220
639,A,B671,1221
640,A,B672,1223
641,A,B673,1223
642,A,B674,1224
643,A,B675,1225
644,A,B676,1226
645,A,B677,1227
646,A,B678,1228
647,A,B679,1229
648,A,B680,1230
649,A,B681,1232
650,A,B689,1233
651,A,B690,1231
652,A,B691,1231
653,A,B698,1231
654,A,B699,1231
655,A,B700,1234
656,A,B701,1235
657,A,B710,1236
658,A,B711,1238
659,A,B718,1238
660,A,B719,1239
661,A,B72,1257
662,A,B73,1253
663,A,B740,1250
664,A,B741,1251
665,A,B742,1256
666,A,B743,1252
667,A,B744,1255
668,A,B748,1256
669,A,B749,1259
670,A,B75,124
671,A,B760,1260
672,A,B761,1261
673,A,B768,1268
674,A,B769,1269
675,A,B770,1270
676,A,B778,1270
677,A,B779,1270
678,A,B780,1272
679,A,B781,1272
680,A,B787,1272
681,A,B789,1272
682,A,B79,1273
683,A,B80,1274
684,A,B810,1271
685,A,B811,1275
686,A,B812,1276
687,A,B813,1277
688,A,B814,1278
689,A,B818,1277
690,A,B820,1279
691,A,B829,129
692,A,B830,1280
693,A,B831,1281
694,A,B832,1288
695,A,B833,1288
696,A,B834,1288
697,A,B838,1288
698,A,B839,1289
699,A,B850,1320
700,A,B851,1321
701,A,B852,1329
702,A,B853,1322
703,A,B854,1323
704,A,B86,1330
705,A,B870,1340
706,A,B871,1340
707,A,B872,1340
708,A,B873,1340
709,A,B874,1340
710,A,B878,1340
711,A,B879,1340
712,A,B880,1338
713,A,B881,1341
714,A,B882,1341
715,A,B883,1342
716,A,B888,1368
717,A,B889,1349
718,A,B89,1369
719,A,B900,1371
720,A,B901,1372
721,A,B902,1373
722,A,B908,1374
723,A,B909,1370
724,A,B91,138
725,A,B92,1398
726,A,B940,1391
727,A,B941,1390
728,A,B942,1398
729,A,B948,1398
730,A,B949,1398
731,A,B950,04101
732,A,B951,04102
733,A,B952,04104
734,A,B953,04106
735,A,B9541,04103
736,A,B9542,04105
737,A,B9548,04109
738,A,B955,04100
739,A,B956,04111
740,A,B957,04119
741,A,B958,04110
742,A,B960,04181
743,A,B961,0413
744,A,B962,0414
745,A,B963,0415
746,A,B964,0416
747,A,B965,0417
748,A,B966,04182
749,A,B967,04183
750,A,B9681,04186
751,A,B9688,04189
752,A,B970,0790
753,A,B971,0791
754,A,B972,07989
755,A,B973,07959
756,A,B974,07989
757,A,B975,07989
758,A,B976,07989
759,A,B977,0794
760,A,B978,07989
761,A,B99,1369
762,A,C000,1400
763,A,C001,1401
764,A,C002,1409
765,A,C003,1403
766,A,C004,1404
767,A,C005,1405
768,A,C006,1406
769,A,C008,1408
770,A,C009,1409
771,A,C01,1410
772,A,C020,1411
773,A,C021,1412
774,A,C022,1413
775,A,C023,1414
776,A,C024,1416
777,A,C028,1418
778,A,C029,1419
779,A,C030,1430
780,A,C031,1431
781,A,C039,1439
782,A,C040,1440
783,A,C041,1441
784,A,C048,1448
785,A,C049,1449
786,A,C050,1452
787,A,C051,1453
788,A,C052,1454
789,A,C058,1458
790,A,C059,1455
791,A,C060,1450
792,A,C061,1451
793,A,C062,1456
794,A,C068,1458
795,A,C069,1459
796,A,C07,1420
797,A,C080,1421
798,A,C081,1422
799,A,C088,1428
800,A,C089,1429
801,A,C090,1461
802,A,C091,1462
803,A,C098,1468
804,A,C099,1460
805,A,C100,1463
806,A,C101,1464
807,A,C102,1466
808,A,C103,1467
809,A,C104,1468
810,A,C108,1468
811,A,C109,1469
812,A,C110,1470
813,A,C111,1471
814,A,C112,1472
815,A,C113,1473
816,A,C118,1478
817,A,C119,1479
818,A,C12,1481
819,A,C130,1480
820,A,C131,1482
821,A,C132,1483
822,A,C138,1488
823,A,C139,1489
824,A,C140,1490
825,A,C142,1491
826,A,C148,1498
827,A,C150,1500
828,A,C151,1501
829,A,C152,1502
830,A,C153,1503
831,A,C154,1504
832,A,C155,1505
833,A,C158,1508
834,A,C159,1509
835,A,C160,1510
836,A,C161,1513
837,A,C162,1514
838,A,C163,1512
839,A,C164,1511
840,A,C165,1515
841,A,C166,1516
842,A,C168,1518
843,A,C169,1519
844,A,C170,1520
845,A,C171,1521
846,A,C172,1522
847,A,C173,1523
848,A,C178,1528
849,A,C179,1529
850,A,C180,1534
851,A,C181,1535
852,A,C182,1536
853,A,C183,1530
854,A,C184,1531
855,A,C185,1537
856,A,C186,1532
857,A,C187,1533
858,A,C188,1538
859,A,C189,1539
860,A,C19,1540
861,A,C20,1541
862,A,C210,1543
863,A,C211,1542
864,A,C212,1548
865,A,C218,1548
866,A,C220,1550
867,A,C221,1551
868,A,C222,1550
869,A,C223,1550
870,A,C224,1550
871,A,C227,1550
872,A,C229,1550
873,A,C23,1560
874,A,C240,1561
875,A,C241,1562
876,A,C248,1568
877,A,C249,1569
878,A,C250,1570
879,A,C251,1571
880,A,C252,1572
881,A,C253,1573
