,TABLETYPE,ICD10-CM,ICD9-CM
10802,B,S4221,81209
10803,B,S4222,81201
10804,B,S4223,81202
10805,B,S4224,81203
10806,B,S4229,81209
10807,B,S423,81220
10808,B,S4240,81240
10809,B,S4241,81241
10810,B,S4242,81242
10811,B,S4243,81243
10812,B,S4244,81244
10813,B,S4245,81249
10814,B,S4249,81249
10815,B,S427,8180
10816,B,S428,8180
10817,B,S429,81200
10818,B,S4300,83100
10819,B,S4301,83101
10820,B,S4302,83102
10821,B,S4303,83103
10822,B,S4308,83109
10823,B,S431,83104
10824,B,S432,83961
10825,B,S433,83101
10826,B,S434,8402
10827,B,S435,8400
10828,B,S436,84841
10829,B,S437,8401
10830,B,S440,9552
10831,B,S441,9551
10832,B,S442,9553
10833,B,S443,9550
10834,B,S444,9554
10835,B,S445,9555
10836,B,S447,9558
10837,B,S448,9557
10838,B,S449,9559
10839,B,S450,90301
10840,B,S451,9031
10841,B,S452,90302
10842,B,S453,9038
10843,B,S457,9038
10844,B,S458,9038
10845,B,S459,9039
10846,B,S460,8404
10847,B,S461,8408
10848,B,S462,8408
10849,B,S463,8408
10850,B,S467,8408
10851,B,S468,8408
10852,B,S469,8409
10853,B,S47,92700
10854,B,S480,8872
10855,B,S481,8872
10856,B,S489,8872
10857,B,S497,9592
10858,B,S498,9592
10859,B,S499,9592
10860,B,S500,92311
10861,B,S501,92310
10862,B,S507,9138
10863,B,S5081,9130
10864,B,S5082,9132
10865,B,S5083,9134
10866,B,S5084,9136
10867,B,S5088,9138
10868,B,S509,9138
10869,B,S510,88101
10870,B,S517,88100
10871,B,S5180,88100
10872,B,S5181,88100
10873,B,S5182,88100
10874,B,S519,88100
10875,B,S5200,81300
10876,B,S5201,81301
10877,B,S5202,81302
10878,B,S5209,81304
10879,B,S5210,81300
10880,B,S5211,81305
10881,B,S5212,81306
10882,B,S5219,81307
10883,B,S5220,81322
10884,B,S5221,81322
10885,B,S5230,81321
10886,B,S5231,81321
10887,B,S524,81323
10888,B,S5250,81342
10889,B,S5251,81342
10890,B,S5252,81342
10891,B,S5259,81342
10892,B,S526,81344
10893,B,S527,8180
10894,B,S528,81343
10895,B,S529,81380
10896,B,S530,83201
10897,B,S5310,83200
10898,B,S5311,83201
10899,B,S5312,83202
10900,B,S5313,83203
10901,B,S5314,83204
10902,B,S5318,83209
10903,B,S532,8410
10904,B,S533,8411
10905,B,S5340,8419
10906,B,S5341,8410
10907,B,S5342,8411
10908,B,S5343,8412
10909,B,S5344,8413
10910,B,S5348,8418
10911,B,S540,9552
10912,B,S541,9551
10913,B,S542,9553
10914,B,S543,9555
10915,B,S547,9558
10916,B,S548,9557
10917,B,S549,9559
10918,B,S550,9033
10919,B,S551,9032
10920,B,S552,9038
10921,B,S557,9038
10922,B,S558,9038
10923,B,S559,9039
10924,B,S560,84219
10925,B,S561,84219
10926,B,S562,8418
10927,B,S563,84219
10928,B,S564,84219
10929,B,S565,8418
10930,B,S567,8418
10931,B,S568,8418
10932,B,S570,92711
10933,B,S578,92710
10934,B,S579,92710
10935,B,S580,8872
10936,B,S581,8870
10937,B,S589,8870
10938,B,S597,9593
10939,B,S598,9593
10940,B,S599,9593
10941,B,S600,9233
10942,B,S601,9233
10943,B,S602,92320
10944,B,S607,9138
10945,B,S6081,9130
10946,B,S6082,9132
10947,B,S6083,9134
10948,B,S6084,9136
10949,B,S6088,9138
10950,B,S609,9138
10951,B,S610,8830
10952,B,S611,8830
10953,B,S617,8840
10954,B,S6180,88102
10955,B,S6181,88102
10956,B,S6182,88102
10957,B,S619,88102
10958,B,S620,81401
10959,B,S6210,81400
10960,B,S6211,81402
10961,B,S6212,81403
10962,B,S6213,81404
10963,B,S6214,81405
10964,B,S6215,81406
10965,B,S6216,81407
10966,B,S6217,81408
10967,B,S6219,81409
10968,B,S6220,81500
10969,B,S6221,81501
10970,B,S6222,81503
10971,B,S6223,81504
10972,B,S6224,81509
10973,B,S6230,81500
10974,B,S6231,81502
10975,B,S6232,81503
10976,B,S6233,81504
10977,B,S6234,81509
10978,B,S624,81509
10979,B,S6250,81600
10980,B,S6251,81601
10981,B,S6252,81602
10982,B,S6260,81600
10983,B,S6261,81601
10984,B,S6262,81601
10985,B,S6263,81602
10986,B,S627,81603
10987,B,S628,8170
10988,B,S6300,83300
10989,B,S6301,83301
10990,B,S6302,83302
10991,B,S6303,83303
10992,B,S6304,83304
10993,B,S6308,83309
10994,B,S6310,83400
10995,B,S6311,83401
10996,B,S6312,83402
10997,B,S632,83400
10998,B,S633,84201
10999,B,S634,84212
11000,B,S6350,84200
11001,B,S6351,84201
11002,B,S6352,84202
11003,B,S6353,84211
11004,B,S6358,84209
11005,B,S6360,84210
11006,B,S6361,84212
11007,B,S6362,84213
11008,B,S6368,84219
11009,B,S637,84210
11010,B,S640,9552
11011,B,S641,9551
11012,B,S642,9553
11013,B,S643,9556
11014,B,S644,9556
11015,B,S647,9558
11016,B,S648,9557
11017,B,S649,9559
11018,B,S650,9033
11019,B,S651,9032
11020,B,S652,9034
11021,B,S653,9034
11022,B,S654,9035
11023,B,S655,9035
11024,B,S657,9038
11025,B,S658,9032
11026,B,S659,9039
11027,B,S660,84209
11028,B,S661,84209
11029,B,S662,84209
11030,B,S663,84209
11031,B,S664,84209
11032,B,S665,84209
11033,B,S666,84209
11034,B,S667,84209
11035,B,S668,84209
11036,B,S669,84200
11037,B,S670,9273
11038,B,S678,92720
11039,B,S680,8850
11040,B,S681,8860
11041,B,S682,8860
11042,B,S683,8870
11043,B,S684,8870
11044,B,S688,8870
11045,B,S689,8870
11046,B,S697,9593
11047,B,S698,9593
11048,B,S699,9593
11049,B,S700,92401
11050,B,S701,92400
11051,B,S707,9168
11052,B,S7081,9160
11053,B,S7082,9162
11054,B,S7083,9164
11055,B,S7084,9166
11056,B,S7088,9168
11057,B,S709,9168
11058,B,S710,8900
11059,B,S711,8900
11060,B,S717,8940
11061,B,S7180,8900
11062,B,S7181,8900
11063,B,S7182,8900
11064,B,S7200,8208
11065,B,S7201,82000
11066,B,S7202,82001
11067,B,S7203,82009
11068,B,S7204,82002
11069,B,S7205,82003
11070,B,S7208,82009
11071,B,S7210,82020
11072,B,S7211,82021
11073,B,S722,82022
11074,B,S723,82101
11075,B,S7240,82120
11076,B,S7241,82121
11077,B,S7242,82122
11078,B,S7243,82123
11079,B,S7244,82129
11080,B,S727,8270
11081,B,S728,82100
11082,B,S729,82100
11083,B,S7300,83500
11084,B,S7301,83501
11085,B,S7302,83503
11086,B,S7308,83500
11087,B,S7310,8439
11088,B,S7311,8430
11089,B,S7312,8431
11090,B,S7318,8438
11091,B,S740,9560
11092,B,S741,9561
11093,B,S742,9564
11094,B,S747,9568
11095,B,S748,9565
11096,B,S749,9569
11097,B,S750,9040
11098,B,S751,9042
11099,B,S752,9043
11100,B,S757,9047
11101,B,S758,9047
11102,B,S759,9048
11103,B,S760,8438
11104,B,S761,8438
11105,B,S762,8438
11106,B,S763,8438
11107,B,S764,8438
11108,B,S767,8438
11109,B,S770,92801
11110,B,S771,92800
11111,B,S772,9288
11112,B,S780,8972
11113,B,S781,8972
11114,B,S789,8972
11115,B,S797,9596
11116,B,S798,9596
11117,B,S799,9596
11118,B,S800,92411
11119,B,S801,92410
11120,B,S807,9168
11121,B,S8081,9160
11122,B,S8082,9162
11123,B,S8083,9164
11124,B,S8084,9166
11125,B,S8088,9168
11126,B,S809,9168
11127,B,S810,8910
11128,B,S817,8910
11129,B,S8180,8910
11130,B,S8181,8910
11131,B,S8182,8910
11132,B,S819,8910
11133,B,S820,8220
11134,B,S8211,82302
11135,B,S8218,82300
11136,B,S8221,82322
11137,B,S8228,82320
11138,B,S8231,82382
11139,B,S8238,8248
11140,B,S8240,82381
11141,B,S8241,82301
11142,B,S8242,82321
11143,B,S8249,82381
11144,B,S825,8240
11145,B,S826,8242
11146,B,S827,8270
11147,B,S8281,8244
11148,B,S8282,8246
11149,B,S8288,8248
11150,B,S829,8270
11151,B,S830,8363
11152,B,S8310,83659
11153,B,S8311,83651
11154,B,S8312,83652
11155,B,S8313,83653
11156,B,S8314,83654
11157,B,S8318,83659
11158,B,S832,8360
11159,B,S833,8362
11160,B,S8340,8441
11161,B,S8341,8440
11162,B,S8342,8441
11163,B,S8343,8440
11164,B,S8344,8441
11165,B,S8350,8442
11166,B,S8351,8442
11167,B,S8352,8442
11168,B,S8353,8442
11169,B,S8354,8442
11170,B,S836,8448
11171,B,S837,8362
11172,B,S840,9562
11173,B,S841,9563
11174,B,S842,9564
11175,B,S847,9568
11176,B,S848,9565
11177,B,S849,9569
11178,B,S850,90441
11179,B,S851,90451
11180,B,S852,9047
11181,B,S853,9043
11182,B,S854,9043
11183,B,S855,90442
11184,B,S857,9047
11185,B,S858,90440
11186,B,S859,9048
11187,B,S860,84509
11188,B,S861,8448
11189,B,S862,8448
11190,B,S863,8448
11191,B,S867,8448
11192,B,S868,8448
11193,B,S869,8448
11194,B,S870,92811
11195,B,S878,92810
11196,B,S880,8972
11197,B,S881,8970
11198,B,S889,8974
11199,B,S897,9597
11200,B,S898,9597
11201,B,S899,9597
11202,B,S900,92421
11203,B,S901,9243
11204,B,S902,9243
11205,B,S903,92420
11206,B,S907,9168
11207,B,S9081,9170
11208,B,S9082,9172
11209,B,S9083,9174
11210,B,S9084,9176
11211,B,S9088,9178
11212,B,S909,9168
11213,B,S910,8910
11214,B,S911,8930
11215,B,S912,8930
11216,B,S913,8920
11217,B,S917,8940
11218,B,S9181,8920
11219,B,S9182,8920
11220,B,S920,8250
11221,B,S921,82521
11222,B,S9220,82529
11223,B,S9221,82522
11224,B,S9222,82523
11225,B,S9223,82524
11226,B,S9228,82529
11227,B,S923,82525
11228,B,S924,8260
11229,B,S925,8260
11230,B,S927,82529
11231,B,S929,82520
11232,B,S930,8370
11233,B,S9310,83809
11234,B,S9311,83805
11235,B,S9312,83806
11236,B,S932,84500
11237,B,S9330,83800
11238,B,S9331,83801
11239,B,S9332,83802
11240,B,S9333,83803
11241,B,S9334,83804
11242,B,S9338,83809
11243,B,S9340,84500
11244,B,S9341,84501
11245,B,S9342,84502
11246,B,S9343,84503
11247,B,S9348,84509
11248,B,S935,84510
11249,B,S936,84519
11250,B,S940,9565
11251,B,S941,9565
11252,B,S942,9563
11253,B,S943,9564
11254,B,S947,9568
11255,B,S948,9565
11256,B,S949,9569
11257,B,S950,9047
11258,B,S951,9046
11259,B,S952,9047
11260,B,S957,9047
11261,B,S958,9047
11262,B,S959,9048
11263,B,S960,84519
11264,B,S961,84519
11265,B,S962,84519
11266,B,S967,84519
11267,B,S968,84519
11268,B,S969,84500
11269,B,S970,92821
11270,B,S971,9283
11271,B,S978,92820
11272,B,S980,8960
11273,B,S981,8950
11274,B,S982,8950
11275,B,S983,8960
11276,B,S984,8960
11277,B,S997,9597
11278,B,S998,9597
11279,B,S999,9597
11280,B,T000,9198
11281,B,T001,9198
11282,B,T002,9198
11283,B,T003,9198
11284,B,T006,9198
11285,B,T008,9198
11286,B,T009,9198
11287,B,T010,8798
11288,B,T011,8798
11289,B,T012,8840
11290,B,T013,8940
11291,B,T016,8840
11292,B,T018,8798
11293,B,T019,8798
11294,B,T0200,80400
11295,B,T0201,80450
11296,B,T0210,8090
11297,B,T0211,8091
11298,B,T0220,8180
11299,B,T0221,8181
11300,B,T0230,8270
11301,B,T0231,8271
11302,B,T0240,8190
11303,B,T0241,8191
11304,B,T0250,8280
11305,B,T0251,8281
11306,B,T0260,8280
11307,B,T0261,8281
11308,B,T0270,8190
11309,B,T0271,8191
11310,B,T0280,8290
11311,B,T0281,8291
11312,B,T0290,8290
11313,B,T0291,8291
11314,B,T030,8398
11315,B,T031,8398
11316,B,T032,8398
11317,B,T033,8398
11318,B,T034,8398
11319,B,T038,8398
11320,B,T039,8398
11321,B,T040,9251
11322,B,T041,9268
11323,B,T042,9278
11324,B,T043,9288
11325,B,T044,9290
11326,B,T047,9290
11327,B,T048,9290
11328,B,T049,9299
11329,B,T050,8876
11330,B,T051,8876
11331,B,T052,8876
11332,B,T053,8962
11333,B,T054,8976
11334,B,T055,8976
11335,B,T056,8976
11336,B,T058,8796
11337,B,T059,8798
11338,B,T060,9529
11339,B,T061,9528
11340,B,T062,9578
11341,B,T063,9049
11342,B,T064,8488
11343,B,T065,8690
11344,B,T068,9598
11345,B,T07,9599
11346,B,T080,8058
11347,B,T081,8059
11348,B,T0900,9118
11349,B,T0901,9110
11350,B,T0902,9112
11351,B,T0903,9114
11352,B,T0904,9116
11353,B,T0905,9229
11354,B,T0908,9118
11355,B,T091,8796
11356,B,T092,8479
11357,B,T093,9529
11358,B,T094,9539
11359,B,T095,8489
11360,B,T096,8796
11361,B,T098,9591
11362,B,T099,9591
11363,B,T100,8180
11364,B,T101,8181
11365,B,T1100,9198
11366,B,T1101,9190
11367,B,T1102,9192
11368,B,T1103,9194
11369,B,T1104,9196
11370,B,T1105,9239
11371,B,T1108,9198
11372,B,T111,8840
11373,B,T112,8398
11374,B,T113,9559
11375,B,T114,9039
11376,B,T115,8409
11377,B,T116,8874
11378,B,T118,9592
11379,B,T119,9592
11380,B,T120,8270
11381,B,T121,8271
11382,B,T1300,9198
11383,B,T1301,9190
11384,B,T1302,9192
11385,B,T1303,9194
11386,B,T1304,9196
11387,B,T1305,9245
11388,B,T1308,9198
11389,B,T131,8910
11390,B,T132,8398
11391,B,T133,9569
11392,B,T134,9048
11393,B,T135,8449
11394,B,T136,8974
11395,B,T138,9597
11396,B,T139,9597
11397,B,T1400,9198
11398,B,T1401,9190
11399,B,T1402,9192
11400,B,T1403,9194
11401,B,T1404,9196
11402,B,T1405,9249
11403,B,T1408,9198
11404,B,T141,8798
11405,B,T1420,8290
11406,B,T1421,8291
11407,B,T143,8398
11408,B,T144,9579
11409,B,T145,9049
11410,B,T146,8489
11411,B,T147,9299
11412,B,T148,9598
11413,B,T149,9599
11414,B,T150,9300
11415,B,T151,9301
11416,B,T158,9302
11417,B,T159,9309
11418,B,T16,931
11419,B,T170,932
11420,B,T171,932
11421,B,T172,9330
11422,B,T173,9331
11423,B,T174,9340
11424,B,T175,9341
11425,B,T178,9348
11426,B,T179,9349
11427,B,T180,9350
11428,B,T181,9351
11429,B,T182,9352
11430,B,T183,936
11431,B,T184,936
11432,B,T185,937
11433,B,T188,938
11434,B,T189,938
11435,B,T190,9390
11436,B,T191,9390
11437,B,T192,9392
11438,B,T193,9391
11439,B,T198,9399
11440,B,T199,9399
11441,B,T200,94100
11442,B,T201,94110
11443,B,T202,94120
11444,B,T203,94130
11445,B,T2100,94200
11446,B,T2101,94201
11447,B,T2102,94202
11448,B,T2103,94203
11449,B,T2104,94204
11450,B,T2105,94205
11451,B,T2109,94209
11452,B,T2110,94210
11453,B,T2111,94211
11454,B,T2112,94212
11455,B,T2113,94213
11456,B,T2114,94214
11457,B,T2115,94215
11458,B,T2119,94219
11459,B,T2120,94220
11460,B,T2121,94221
11461,B,T2122,94222
11462,B,T2123,94223
11463,B,T2124,94224
11464,B,T2125,94225
11465,B,T2129,94229
11466,B,T2130,94230
11467,B,T2131,94231
11468,B,T2132,94232
11469,B,T2133,94233
11470,B,T2134,94234
11471,B,T2135,94235
11472,B,T2139,94239
11473,B,T2200,94300
11474,B,T2201,94301
11475,B,T2202,94303
11476,B,T2210,94310
11477,B,T2211,94311
11478,B,T2212,94313
11479,B,T2220,94320
11480,B,T2221,94321
11481,B,T2222,94323
11482,B,T2230,94330
11483,B,T2231,94331
11484,B,T2232,94333
11485,B,T230,94400
11486,B,T231,94410
11487,B,T232,94420
11488,B,T233,94430
11489,B,T240,94500
11490,B,T241,94510
11491,B,T242,94520
11492,B,T243,94530
11493,B,T250,94501
11494,B,T251,94511
11495,B,T252,94521
11496,B,T253,94531
11497,B,T260,9401
11498,B,T261,9404
11499,B,T262,9405
11500,B,T263,9409
11501,B,T264,9409
11502,B,T270,9471
11503,B,T271,9471
11504,B,T272,9478
11505,B,T273,9478
11506,B,T280,9470
11507,B,T281,9472
11508,B,T282,9473
11509,B,T283,9478
11510,B,T284,9478
11511,B,T290,9460
11512,B,T291,9461
11513,B,T292,9462
11514,B,T293,9463
11515,B,T300,9490
11516,B,T301,9491
11517,B,T302,9492
11518,B,T303,9493
11519,B,T3100,94800
11520,B,T3110,94810
11521,B,T3111,94811
11522,B,T3120,94820
11523,B,T3121,94821
11524,B,T3122,94822
11525,B,T3130,94830
11526,B,T3131,94831
11527,B,T3132,94832
11528,B,T3133,94833
11529,B,T3140,94840
11530,B,T3141,94841
11531,B,T3142,94842
11532,B,T3143,94843
11533,B,T3144,94844
11534,B,T3150,94850
11535,B,T3151,94851
11536,B,T3152,94852
11537,B,T3153,94853
11538,B,T3154,94854
11539,B,T3155,94855
11540,B,T3160,94860
11541,B,T3161,94861
11542,B,T3162,94862
11543,B,T3163,94862
11544,B,T3164,94864
11545,B,T3165,94865
11546,B,T3166,94866
11547,B,T3170,94870
11548,B,T3171,94871
11549,B,T3172,94872
11550,B,T3173,94873
11551,B,T3174,94874
11552,B,T3175,94875
11553,B,T3176,94876
11554,B,T3177,94877
11555,B,T3180,94880
11556,B,T3181,94881
11557,B,T3182,94882
11558,B,T3183,94883
11559,B,T3184,94884
11560,B,T3185,94885
11561,B,T3186,94886
11562,B,T3187,94887
11563,B,T3188,94888
11564,B,T3190,94890
11565,B,T3191,94891
11566,B,T3192,94892
11567,B,T3193,94893
11568,B,T3194,94894
11569,B,T3195,94895
11570,B,T3196,94896
11571,B,T3197,94897
11572,B,T3198,94898
11573,B,T3199,94899
11574,B,T330,9910
11575,B,T331,9913
11576,B,T332,9913
11577,B,T333,9913
11578,B,T334,9913
11579,B,T335,9911
11580,B,T336,9913
11581,B,T337,9913
11582,B,T338,9912
11583,B,T339,9913
11584,B,T340,9910
11585,B,T341,9913
11586,B,T342,9913
11587,B,T343,9913
11588,B,T344,9913
11589,B,T345,9911
11590,B,T346,9913
11591,B,T347,9913
11592,B,T348,9912
11593,B,T349,9913
11594,B,T350,9913
11595,B,T351,9913
11596,B,T352,9910
11597,B,T353,9913
11598,B,T354,9911
11599,B,T355,9912
11600,B,T356,9913
11601,B,T357,9913
11602,B,T360,9600
11603,B,T361,9605
11604,B,T362,9602
11605,B,T363,9603
11606,B,T364,9604
11607,B,T365,9606
11608,B,T366,9606
11609,B,T367,9601
11610,B,T368,9608
11611,B,T369,9609
11612,B,T370,9610
11613,B,T371,9618
11614,B,T372,9614
11615,B,T373,9615
11616,B,T374,9616
11617,B,T375,9617
11618,B,T378,9611
11619,B,T379,9619
11620,B,T380,9620
11621,B,T381,9627
11622,B,T382,9628
11623,B,T383,9623
11624,B,T384,9622
11625,B,T385,9622
11626,B,T386,9629
11627,B,T387,9621
11628,B,T388,9624
11629,B,T389,9629
11630,B,T390,9651
11631,B,T391,9654
11632,B,T392,9655
11633,B,T393,9657
11634,B,T394,9656
11635,B,T398,9657
11636,B,T399,9659
11637,B,T400,96500
11638,B,T401,96501
11639,B,T402,96509
11640,B,T403,96502
11641,B,T404,96509
11642,B,T405,96509
11643,B,T406,96509
11644,B,T407,9696
11645,B,T408,9696
11646,B,T409,9696
11647,B,T410,9680
11648,B,T411,9683
11649,B,T412,9684
11650,B,T413,9685
11651,B,T414,9684
11652,B,T415,9878
11653,B,T420,9661
11654,B,T421,9663
11655,B,T422,9660
11656,B,T423,9670
11657,B,T424,9694
11658,B,T425,9663
11659,B,T426,9663
11660,B,T427,9663
11661,B,T428,9664
11662,B,T430,9690
11663,B,T431,9690
11664,B,T432,9690
11665,B,T433,9691
11666,B,T434,9692
11667,B,T435,9693
11668,B,T436,9697
11669,B,T438,9695
11670,B,T439,9699
11671,B,T440,9710
11672,B,T441,9710
11673,B,T442,9723
11674,B,T443,9725
11675,B,T444,9728
11676,B,T445,9712
11677,B,T446,9713
11678,B,T447,9713
11679,B,T448,9713
11680,B,T449,9719
11681,B,T450,9630
11682,B,T451,9631
11683,B,T452,9635
11684,B,T453,9634
11685,B,T454,9640
11686,B,T455,9642
11687,B,T456,9644
11688,B,T457,9643
11689,B,T458,9641
11690,B,T459,9639
11691,B,T460,9721
11692,B,T461,9720
11693,B,T462,9720
11694,B,T463,9724
11695,B,T464,9712
11696,B,T465,9726
11697,B,T466,9722
11698,B,T467,9725
11699,B,T468,9727
11700,B,T469,9729
11701,B,T470,9730
11702,B,T471,9730
11703,B,T472,9731
11704,B,T473,9733
11705,B,T474,9733
11706,B,T475,9734
11707,B,T476,9735
11708,B,T477,9736
11709,B,T478,9738
11710,B,T479,9739
11711,B,T480,9750
11712,B,T481,9752
11713,B,T482,9751
11714,B,T483,9754
11715,B,T484,9755
11716,B,T485,9756
11717,B,T486,9757
11718,B,T487,9758
11719,B,T490,9760
11720,B,T491,9761
11721,B,T492,9762
11722,B,T493,9763
11723,B,T494,9764
11724,B,T495,9765
11725,B,T496,9766
11726,B,T497,9767
11727,B,T498,9768
11728,B,T499,9769
11729,B,T500,9740
11730,B,T501,9741
11731,B,T502,9742
11732,B,T503,9745
11733,B,T504,9747
11734,B,T505,9770
11735,B,T506,9772
11736,B,T507,9700
11737,B,T508,9778
11738,B,T509,9778
11739,B,T510,9800
11740,B,T511,9801
11741,B,T512,9802
11742,B,T513,9803
11743,B,T518,9808
11744,B,T519,9809
11745,B,T520,981
11746,B,T521,9820
11747,B,T522,9820
11748,B,T523,9824
11749,B,T524,9828
11750,B,T528,9828
11751,B,T529,9828
11752,B,T530,9821
11753,B,T531,9823
11754,B,T532,9823
11755,B,T533,9823
11756,B,T534,9823
11757,B,T535,9823
11758,B,T536,9823
11759,B,T537,9823
11760,B,T539,9823
11761,B,T540,9830
11762,B,T541,9830
11763,B,T542,9831
11764,B,T543,9832
11765,B,T549,9839
11766,B,T55,9896
11767,B,T560,9840
11768,B,T561,9850
11769,B,T562,9856
11770,B,T563,9855
11771,B,T564,9858
11772,B,T565,9858
11773,B,T566,9858
11774,B,T567,9853
11775,B,T568,9858
11776,B,T569,9859
11777,B,T570,9851
11778,B,T571,9831
11779,B,T572,9852
11780,B,T573,9890
11781,B,T578,98989
11782,B,T579,98989
11783,B,T58,986
11784,B,T590,9872
11785,B,T591,9873
11786,B,T592,98989
11787,B,T593,9875
11788,B,T594,9876
11789,B,T595,9878
11790,B,T596,9878
11791,B,T597,9878
11792,B,T598,9878
11793,B,T599,9879
11794,B,T600,9893
11795,B,T601,9894
11796,B,T602,9894
11797,B,T603,9894
11798,B,T604,9894
11799,B,T608,9894
11800,B,T609,9894
11801,B,T610,9880
11802,B,T611,9880
11803,B,T612,9880
11804,B,T618,9880
11805,B,T619,9880
11806,B,T620,9881
11807,B,T621,9882
11808,B,T622,9882
11809,B,T628,9888
11810,B,T629,9889
11811,B,T630,9895
11812,B,T631,9895
11813,B,T632,9895
11814,B,T633,9895
11815,B,T634,9895
11816,B,T635,9895
11817,B,T636,9895
11818,B,T638,9895
11819,B,T639,9895
11820,B,T64,9897
11821,B,T650,9890
11822,B,T651,9891
11823,B,T652,98984
11824,B,T653,98989
11825,B,T654,9822
11826,B,T655,98989
11827,B,T656,98989
11828,B,T658,98989
11829,B,T659,9899
11830,B,T66,990
11831,B,T670,9920
11832,B,T671,9921
11833,B,T672,9922
11834,B,T673,9923
11835,B,T674,9924
11836,B,T675,9925
11837,B,T676,9926
11838,B,T677,9927
11839,B,T678,9928
11840,B,T679,9929
11841,B,T68,9916
11842,B,T690,9914
11843,B,T691,9915
11844,B,T698,9918
11845,B,T699,9919
11846,B,T700,9930
11847,B,T701,9931
11848,B,T702,9932
11849,B,T703,9933
11850,B,T704,9938
11851,B,T708,9934
11852,B,T709,9939
11853,B,T71,9947
11854,B,T730,9942
11855,B,T731,9943
11856,B,T732,9944
11857,B,T733,9945
11858,B,T738,9949
11859,B,T739,9949
11860,B,T740,99581
11861,B,T741,99581
11862,B,T742,99581
11863,B,T743,99581
11864,B,T748,99581
11865,B,T749,99581
11866,B,T750,9940
11867,B,T751,9941
11868,B,T752,9949
11869,B,T753,9946
11870,B,T754,9948
11871,B,T758,9949
11872,B,T780,9950
11873,B,T781,9952
11874,B,T782,9950
11875,B,T783,9951
11876,B,T784,9953
11877,B,T788,9952
11878,B,T789,9952
11879,B,T790,9580
11880,B,T791,9581
11881,B,T792,9582
11882,B,T793,9583
11883,B,T794,9584
11884,B,T795,9585
11885,B,T796,9586
11886,B,T797,9587
11887,B,T798,9588
11888,B,T799,9588
11889,B,T800,9991
11890,B,T801,9992
11891,B,T802,9993
11892,B,T803,9996
11893,B,T804,9997
11894,B,T805,9994
11895,B,T806,9995
11896,B,T808,9998
11897,B,T809,9998
11898,B,T810,9981
11899,B,T811,9980
11900,B,T812,9982
11901,B,T813,9983
11902,B,T814,9985
11903,B,T815,9984
11904,B,T816,9987
11905,B,T817,9972
11906,B,T818,99889
11907,B,T819,9989
11908,B,T820,99602
11909,B,T821,99601
11910,B,T822,99603
11911,B,T823,9961
11912,B,T824,9961
11913,B,T825,99609
11914,B,T826,99661
11915,B,T827,99661
11916,B,T828,99671
11917,B,T829,99671
11918,B,T830,99631
11919,B,T831,99639
11920,B,T832,99630
11921,B,T833,99632
11922,B,T834,99639
11923,B,T835,99664
11924,B,T836,99665
11925,B,T838,99676
11926,B,T839,99676
11927,B,T840,9964
11928,B,T841,9964
11929,B,T842,9964
11930,B,T843,9964
11931,B,T844,9964
11932,B,T845,99666
11933,B,T846,99667
11934,B,T847,99667
11935,B,T848,99677
11936,B,T849,99677
11937,B,T850,9962
11938,B,T851,9962
11939,B,T852,99653
11940,B,T853,99653
11941,B,T854,99654
11942,B,T855,99659
11943,B,T856,99659
11944,B,T8571,99668
11945,B,T8578,99669
11946,B,T8581,99675
11947,B,T8588,99679
11948,B,T859,99670
11949,B,T860,99685
11950,B,T861,99681
11951,B,T862,99683
11952,B,T863,99683
11953,B,T864,99682
11954,B,T8681,99684
11955,B,T8682,99686
11956,B,T8688,99689
11957,B,T869,99680
11958,B,T870,99691
11959,B,T871,99695
11960,B,T872,99699
11961,B,T873,99761
11962,B,T874,99762
11963,B,T875,99769
11964,B,T876,99769
11965,B,T880,9993
11966,B,T881,9999
11967,B,T882,9954
11968,B,T883,99589
11969,B,T884,9999
11970,B,T885,9952
11971,B,T886,9950
11972,B,T887,9952
11973,B,T888,99889
11974,B,T889,9989
11975,B,T8900,8799
11976,B,T8901,8799
11977,B,T8902,8799
11978,B,T8903,8799
11979,B,T900,9062
11980,B,T901,9060
11981,B,T902,9050
11982,B,T903,9071
11983,B,T904,9094
11984,B,T905,9070
11985,B,T908,9099
11986,B,T909,9089
11987,B,T910,9060
11988,B,T911,9051
11989,B,T912,9051
11990,B,T913,9072
11991,B,T914,9082
11992,B,T915,9081
11993,B,T918,9099
11994,B,T919,9089
11995,B,T920,9061
11996,B,T921,9052
11997,B,T922,9052
11998,B,T923,9056
11999,B,T924,9074
12000,B,T925,9058
12001,B,T926,9064
12002,B,T928,9062
12003,B,T929,9089
12004,B,T930,9061
12005,B,T931,9053
12006,B,T932,9054
12007,B,T933,9056
12008,B,T934,9075
12009,B,T935,9057
12010,B,T936,9064
12011,B,T938,9062
12012,B,T939,9089
12013,B,T940,9055
12014,B,T941,9099
12015,B,T950,9065
12016,B,T951,9068
12017,B,T952,9066
12018,B,T953,9067
12019,B,T954,9069
12020,B,T958,9068
12021,B,T959,9069
12022,B,T96,9090
12023,B,T97,9091
12024,B,T980,9085
12025,B,T981,9099
12026,B,T982,9086
12027,B,T983,9093
12028,E,V0100,82609
12029,E,V0101,82609
12030,E,V0102,82609
12031,E,V0103,82609
12032,E,V0104,82609
12033,E,V0108,82609
12034,E,V0109,82609
12035,E,V0110,82605
12036,E,V0111,82605
12037,E,V0112,82605
12038,E,V0113,82605
12039,E,V0114,82605
